,Germany,Greece,Italy,Japan,"Korea, South",Spain,Day
2020-05-29,180458,2909,232248,16661,11441,238564,129
2020-05-30,181196,2915,232664,16706,11468,239228,130
2020-05-31,181482,2917,232997,16741,11503,239479,131
2020-06-01,181815,2918,233197,16778,11541,239638,132
2020-06-02,182028,2937,233515,16829,11590,239932,133
2020-06-03,182370,2952,233836,16858,11629,240326,134
2020-06-04,182764,2952,234013,16902,11668,240660,135
2020-06-05,183271,3049,234531,16949,11719,240978,136
2020-06-06,183678,3049,234801,16995,11776,241310,137
2020-06-07,183979,3049,234998,17033,11814,241550,138
2020-06-08,184193,3049,235278,17054,11852,241717,139
2020-06-09,184543,3058,235561,17099,11902,241966,140
2020-06-10,184861,3068,235763,17135,11947,242280,141
2020-06-11,185416,3088,236142,17179,12003,242707,142
2020-06-12,185674,3108,236305,17240,12051,243209,143
2020-06-13,186022,3112,236651,17285,12085,243605,144
2020-06-14,186269,3121,236989,17360,12121,243928,145
2020-06-15,186461,3134,237290,17432,12155,244109,146
2020-06-16,186839,3148,237500,17474,12198,244328,147
2020-06-17,187184,3203,237828,17520,12257,244683,148
2020-06-18,187764,3227,238159,17589,12306,245268,149
2020-06-19,188534,3237,238011,17650,12373,245575,150
2020-06-20,189135,3256,238275,17714,12421,245938,151
2020-06-21,189822,3266,238499,17769,12438,246272,152
2020-06-22,190359,3287,238720,17812,12484,246504,153
2020-06-23,190862,3302,238833,17869,12535,246752,154
2020-06-24,191449,3310,239410,17965,12563,247086,155
2020-06-25,192079,3321,239706,18047,12602,247486,156
2020-06-26,192556,3343,239961,18152,12653,247905,157
2020-06-27,193243,3366,240136,18244,12715,248469,158
2020-06-28,193499,3376,240310,18357,12757,248770,159
2020-06-29,193761,3390,240436,18467,12800,248970,160
2020-06-30,194259,3409,240578,18605,12850,249271,161
2020-07-01,194725,3432,240760,18732,12904,249659,162
2020-07-02,195228,3458,240961,18926,12967,250103,163
2020-07-03,195674,3486,241184,19176,13030,250545,164
2020-07-04,196096,3511,241419,19450,13091,250545,165
2020-07-05,196335,3519,241611,19658,13137,250545,166
2020-07-06,196554,3562,241819,19834,13181,251789,167
2020-07-07,196944,3589,241956,20042,13244,252130,168
2020-07-08,197341,3622,242149,20249,13293,252513,169
2020-07-09,197783,3672,242363,20604,13338,253056,170
2020-07-10,198178,3732,242639,21034,13373,253908,171
2020-07-11,198556,3772,242827,21420,13417,253908,172
2020-07-12,198804,3803,243061,21827,13479,253908,173
2020-07-13,198963,3826,243230,22086,13512,255953,174
2020-07-14,199375,3883,243344,22419,13551,256619,175
2020-07-15,199726,3910,243506,22869,13612,257494,176
2020-07-16,200260,3939,243736,23493,13672,258855,177
2020-07-17,200843,3964,243967,24090,13711,260255,178
2020-07-18,201372,3983,244216,24751,13745,260255,179
2020-07-19,201574,4007,244434,25262,13771,260255,180
2020-07-20,201823,4012,244624,25680,13816,264836,181
2020-07-21,202345,4048,244752,26312,13879,266194,182
2020-07-22,202799,4077,245032,27107,13938,267551,183
2020-07-23,203368,4110,245338,28088,13979,270166,184
2020-07-24,204183,4135,245590,28867,14092,272421,185
2020-07-25,204964,4166,245864,29668,14150,272421,186
2020-07-26,205269,4193,246118,30507,14175,272421,187
2020-07-27,205609,4227,246286,31107,14203,278782,188
2020-07-28,206242,4279,246488,32092,14251,280610,189
2020-07-29,206926,4336,246776,33362,14269,282641,190
2020-07-30,207828,4401,247158,34670,14305,285430,191
2020-07-31,208698,4477,247537,36256,14336,288522,192
2020-08-01,209653,4587,247832,37790,14366,288522,193
2020-08-02,209893,4662,248070,39121,14389,288522,194
2020-08-03,210402,4737,248229,40086,14423,297054,195
2020-08-04,211281,4855,248419,41332,14456,302814,196
2020-08-05,212022,4973,248803,42687,14499,305767,197
